NAME,LONGITUDE,LATITUDE,NEIGHBORHOOD_NAME,COUNTY_NAME
Park,29.1586753155445,40.9020312233849,ORHANTEPE,KARTAL
Şehit Mehmet Çetinkaya Parkı,28.9465173109931,41.0120069446097,MOLLA GÜRANİ,FATİH
Haşim İşcan Parkı,28.9354106310143,41.0236236108618,KARAGÜMRÜK,FATİH
Emre Belezoğlu Altı Parkı,28.9301984629099,40.9957846615505,KOCA MUSTAFAPAŞA,FATİH
Nakilbent Parkı,28.9747459298113,41.0042543965303,KÜÇÜK AYASOFYA,FATİH
Kalburcu Mehmet Parkı,28.9260727131883,41.017238167243,MEVLANAKAPI,FATİH
Veysel Satık Parkı,28.9562404485394,41.0214914265114,CİBALİ,FATİH
Oruçgazi Parkı,28.9526951339037,41.0130457327085,İSKENDERPAŞA,FATİH
Beyceğiz Parkı,28.9443828323662,41.0243071615506,ATİKALİ,FATİH
Sultanahmet Havuzlu Park,28.9783758576765,41.0071506059601,CANKURTARAN,FATİH
Aşık Paşa Parkı,28.9558643444564,41.0239754942185,YAVUZ SULTAN SELİM,FATİH
23 Nisan Çocuk Parkı,28.97330039524,41.0039405374539,KÜÇÜK AYASOFYA,FATİH
Kurtağa Parkı ve Spor Alanı,28.9397562987873,41.0284679600867,DERVİŞ ALİ,FATİH
Kariye Parkı,28.9382482983796,41.0311708211868,DERVİŞ ALİ,FATİH
Kurtağa Çeşme Parkı,28.9398373855138,41.0281168492728,DERVİŞ ALİ,FATİH
Hurşit Makinacı Parkı,28.9155463494705,41.0382536294226,YENİDOĞAN,BAYRAMPAŞA
100. Yıl Parkı,28.8880121911189,41.0695062568543,YILDIRIM,BAYRAMPAŞA
Sancak Parkı,28.890815487973,41.0622390218445,YILDIRIM,BAYRAMPAŞA
Dr. Sadık Ahmet Parkı,28.8890070980085,41.0637303489705,YILDIRIM,BAYRAMPAŞA
Sabri Akpınar Parkı,28.9088083714183,41.0438755416197,İSMET PAŞA,BAYRAMPAŞA
Uzun Yusuf Parkı,28.9265530688804,41.0077734732825,SEYYİD ÖMER,FATİH
Kariye Şehir Parkı,28.9396918359503,41.0309462042877,DERVİŞ ALİ,FATİH
Dr. Nihat Ergin Parkı,28.8989802344432,41.0568787504593,KARTALTEPE,BAYRAMPAŞA
Hülya Sok. Çocuk Parkı,28.8988027271246,41.0555805164768,KARTALTEPE,BAYRAMPAŞA
Dökümcüler Parkı,28.908264370269,41.0478967723408,MURATPAŞA,BAYRAMPAŞA
Hudut Parkı,28.8889862777825,41.0632425590255,YILDIRIM,BAYRAMPAŞA
Park,29.2180924063071,41.019761617627,KİRAZLIDERE,ÇEKMEKÖY
Fevzi Çakmak Parkı,29.2168679521047,41.0199594026775,KİRAZLIDERE,ÇEKMEKÖY
Bademlik Parkı,28.9480871716599,41.0527389965315,SÜTLÜCE,BEYOĞLU
Sefa Meydanı Parkı,28.9770522218012,41.0434868492372,YENİŞEHİR,BEYOĞLU
Gümüşsuyu Parkı,28.9875825083886,41.0353174063103,GÜMÜŞSUYU,BEYOĞLU
Tophane Parkı,28.9797777504764,41.0269988100186,HACIMİMİ,BEYOĞLU
Çıksalın Sok. Altı Parkı,28.9504637952942,41.0503680625024,HALICIOĞLU,BEYOĞLU
Attila İlhan Çocuk Parkı,28.8591131417455,40.9779793758198,ATAKÖY 2-5-6. KISIM,BAKIRKÖY
Ataköy 3. Kısım Çocuk Parkı,28.8630081224054,40.9823258369298,ATAKÖY 3-4-11. KISIM,BAKIRKÖY
Barlas Küntay Parkı,28.8539833619677,40.9828888178256,ATAKÖY 2-5-6. KISIM,BAKIRKÖY
Ahmet Sezgin Parkı,28.8395017130738,40.9869771216572,ATAKÖY 7-8-9-10. KISIM,BAKIRKÖY
Acısu Parkı,28.9568398518279,41.0411689699729,KEÇECİ PİRİ,BEYOĞLU
Aynalıkavak Parkı,28.9560740610927,41.0388763397463,KEÇECİ PİRİ,BEYOĞLU
Piri Mehmetpaşa Parkı,28.950491927825,41.0418030525732,PİRİPAŞA,BEYOĞLU
1272/2. Sok. Parkı,28.9102632469184,41.1002094083835,ZÜBEYDE HANIM,SULTANGAZİ
Şehit Sedat Karaçor Parkı,28.8623937257346,41.0650967042324,TURGUT REİS,ESENLER
Cumhuriyet Meydanı,28.5833946297256,41.0193419086146,FATİH,BÜYÜKÇEKMECE
İBB Hacı Hüsrev Parkı,28.9409137408243,41.0398618248474,DEFTERDAR,EYÜPSULTAN
Küçüksu Mahalle Muhtarlığı Yanı Parkı,29.065628021304,41.0694294919112,KÜÇÜKSU,ÜSKÜDAR
Seyfi Ali Yıldız Parkı,29.0749430635266,41.0579788357942,BAHÇELİEVLER,ÜSKÜDAR
Kiraz Bahçesi,28.8364459043414,41.03382538809,KİRAZLI,BAĞCILAR
Üzüm Bağı,28.8538207648307,41.0385061683511,SANCAKTEPE,BAĞCILAR
Cebeci Şehir Parkı,28.8754296576218,41.1036382810009,UĞUR MUMCU,SULTANGAZİ
Meşe Parkı,29.2416436270512,41.0497982015285,ÇATALMEŞE,ÇEKMEKÖY
Karaçayır Parkı,29.2322857657233,41.0246565189833,SOĞUKPINAR,ÇEKMEKÖY
Sarı Çiçek Parkı,29.2212168625612,41.0210416007424,KİRAZLIDERE,ÇEKMEKÖY
Atatürk Parkı,28.4573585622303,41.1427994409175,KALEİÇİ,ÇATALCA
Mustafa Dönmez Parkı,28.8549757361861,41.0178724205575,CUMHURİYET,BAHÇELİEVLER
Yeni Çamlıca Parkı,29.056534588527,41.0294476732537,BURHANİYE,ÜSKÜDAR
Bağlariçi Parkı,29.0820610239245,41.0216791325474,BULGURLU,ÜSKÜDAR
Turgut Reis Parkı,29.0852729725428,41.0170661417374,BULGURLU,ÜSKÜDAR
M. Emim Yıldırım Parkı,29.0357666014115,41.01722440211,BARBAROS,ÜSKÜDAR
Divitçiler Parkı,29.0249272561156,41.0166147532979,VALİDE-İ ATİK,ÜSKÜDAR
Kısıklı Parkı,29.0748156295593,41.025934433081,KISIKLI,ÜSKÜDAR
Altunizade Parkı,29.0485809305765,41.0184599120042,ALTUNİZADE,ÜSKÜDAR
Necati Alkan Parkı,29.2315638258568,41.0204256078043,AYDINLAR,ÇEKMEKÖY
Yılmaz Parkı,29.2305651336619,41.0246740520097,SOĞUKPINAR,ÇEKMEKÖY
Alman Deresi Yürüyüş Parkı,29.0292321138042,41.0876301187959,AKAT,BEŞİKTAŞ
Sohbet Parkı,28.9126885557793,41.0971873152809,75. YIL,SULTANGAZİ
Şehit Nejat Şahin Parkı,28.869395065698,41.0947646873936,50. YIL,SULTANGAZİ
Şairler Sofası,29.000419691674,41.0419649753743,VİŞNEZADE,BEŞİKTAŞ
Vişnezade Camii Parkı,28.9989023726818,41.0418449277907,VİŞNEZADE,BEŞİKTAŞ
Atatürk Gençlik Parkı,28.2878871497431,41.0668339399759,CUMHURİYET,SİLİVRİ
Barbaros Parkı,29.0065848499062,41.0415824714774,SİNANPAŞA,BEŞİKTAŞ
Molla Aşkı Kültür Parkı,28.9432649377857,41.0338016582333,AYVANSARAY,FATİH
Esenyurt Belediyesi Yürüyüş Parkı,28.655162957892,41.0169618402406,CUMHURİYET,ESENYURT
Park,28.8841213156206,41.0123729524893,MEHMET NESİH ÖZMEN,GÜNGÖREN
Park,29.1227405916665,40.9863271709354,KÜÇÜKBAKKALKÖY,ATAŞEHİR
Şehit Çaner Çalışkan Parkı,29.2140845438103,40.9215844535249,GÜMÜŞPINAR,KARTAL
Şehit Turan Damgacı Parkı,29.2139659471001,40.930611331247,UĞUR MUMCU,KARTAL
Park,29.214150589986,41.0182689882024,KİRAZLIDERE,ÇEKMEKÖY
Farabi Parkı,29.1806451340585,41.0332155439061,MİMAR SİNAN,ÇEKMEKÖY
Keskin Parkı,29.1823929015417,41.0219773486635,MEHMET AKİF,ÇEKMEKÖY
İbn-i Sina Parkı,29.1875410711584,41.0165534385439,MEHMET AKİF,ÇEKMEKÖY
Kemerdere Parkı,29.1786704437018,41.0234927155002,MEHMET AKİF,ÇEKMEKÖY
Ord. Prof. Zeki Velidi Toğan Parkı,29.1777986157581,41.0248994516064,MİMAR SİNAN,ÇEKMEKÖY
Orman Gülü Parkı,29.345870553004,41.0954727769021,ÖMERLİ,ÇEKMEKÖY
Kumbaba Parkı,29.5807821272152,41.1665752183177,KUMBABA,ŞİLE
Veysel Karani Parkı-2,28.9143290367133,41.0688605453095,BAĞLARBAŞI,GAZİOSMANPAŞA
Açık Spor Alanı Çocuk Parkı,28.6732829450661,40.9977638183043,YAKUPLU,BEYLİKDÜZÜ
Tenzile Erdoğan Parkı,29.2639580608937,40.8921583126807,ESENLER,PENDİK
Hüseyin Ersu Parkı,28.8466770413533,41.1137083797741,MALKOÇOĞLU,SULTANGAZİ
Servi Parkı,28.9095825209798,41.0995870664872,ZÜBEYDE HANIM,SULTANGAZİ
Serçe Parkı,29.2115793043351,40.9293295894362,UĞUR MUMCU,KARTAL
Esenyurt Anaokulu ve Parkı,28.6750504551243,41.0391619190545,BAĞLARÇEŞME,ESENYURT
Kanarya Parkı,28.9160644719998,41.1571620264557,MİMAR SİNAN,EYÜPSULTAN
Erdemliler Parkı,28.9244008269712,41.0897355769425,AKŞEMSETTİN,EYÜPSULTAN
Barbaros Hayrettin Parkı,29.1600755135378,41.0172676508835,AŞAĞI DUDULLU,ÜMRANİYE
5 Nolu Park,28.6998641594441,41.0689019743889,BAHÇEŞEHİR 1. KISIM,BAŞAKŞEHİR
Yaşar Ekici Parkı,29.2251105984629,40.902533811772,CUMHURİYET,KARTAL
Gamze Sok. Parkı,28.927560909347,41.071771162303,KARADOLAP,EYÜPSULTAN
Tepeköy Parkı,29.1299597622039,40.8680950952115,NİZAM,ADALAR
İlhan Karademir Parkı,29.0911345236034,41.1549333604429,TOKATKÖY,BEYKOZ
