PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2019-03-27,AŞK BİR ZAMANLAR (GAZALE),Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,61
2018-11-24,KAHVEDE ŞENLİK VAR,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,14
2018-05-22,LÜKÜS HAYAT (ÖZEL ANABİLİM ANADOLU LİSESİ),Ümraniye Sahnesi,Yetişkin,1,Yerli,29.104798,41.025025,12
2019-05-07,ORKESTRA (ERBULAK EVİ),Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,1,Yabancı,29.023817,41.017064,13
2020-01-05,VAHŞİ BATI,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,22
2018-10-23,İKİ ARADA BİR YERDE,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,28
2019-03-10,BENİM GÜZEL PABUÇLARIM,Gaziosmanpaşa Sahnesi,Çocuk,0,Yerli,28.916482,41.057846,51
2020-01-18,ON İKİ ÖFKELİ ADAM,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yabancı,28.8765777,41.09774468,37
2020-09-25,CANAVAR MI YOK MU? / GİNKO TİYATRO," GİNKO TİYATRO",Çocuk,0,Yerli,28.970972,41.079366,10
2019-05-10,KAFESTEN BİR KUŞ UÇTU (SELÇUK ÜNİVERSİTESİ DEVLET KONSERVATUVARI TİYATRO AST),Kadıköy Haldun Taner Sahnesi,Yetişkin,1,Yabancı,29.023408,40.99177,32
2018-01-27,POLLYANNA,Ümraniye Sahnesi,Çocuk,0,Yabancı,29.104798,41.025025,82
2019-04-13,ŞAHANE ZÜĞÜRTLER,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.99177,94
2017-11-25,FEHİM PAŞA KONAĞI,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,46
2019-01-20,HARİKALAR MUTFAĞI,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765777,41.09774468,214
2019-12-28,"AY, CARMELA!",Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.0129,41.019561,69
2019-02-14,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yerli,29.023817,41.017064,4
2019-09-22,KOMİK-İ ŞEHİR NAŞİT BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,51
2017-09-28,BEN ÇAĞIRMADIM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.99177,16
2018-09-20,KARINCALAR - BİR SAVAŞ VARDI,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yabancı,29.0129,41.019561,331
2017-12-23,BİSKÜVİ ADAM,Kağıthane Sadabad Sahnesi,Çocuk,0,Yabancı,28.970972,41.079366,56
2019-12-30,AMANVERMEZ AVNİ,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yerli,29.023817,41.017064,4
2018-03-22,NORA - BİR BEBEK EVİ,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,65
2019-02-09,GEÇ KALANLAR,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.023408,40.99177,96
2017-11-10,YANGIN YERİNDE ORKİDELER,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.0159,179
2017-10-20,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,13
2018-12-22,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Ümraniye Sahnesi,Müzikal,0,Yabancı,29.104798,41.025025,6
2018-03-11,MEVLANA'DAN ÖYKÜLER,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,16
2020-02-24,NORA - BİR BEBEK EVİ,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.0159,39
2019-05-01,MACBETH,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,56
2018-04-18,SANSEV MİNİKLER KOROSU VE SANSEV PİYANO ÖĞRENCİLERİ,Gaziosmanpaşa Sahnesi,Çocuk,1,Yerli,28.916482,41.057846,14
2018-01-29,ELMA KURDU KIRTIK,Kağıthane Küçük Kemal Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,136
2019-05-14,HAMLET (MİMAR SİNAN GSÜ DEVLET KONSERVATUVARI TİYATRO ASD),Kadıköy Haldun Taner Sahnesi,Yetişkin,1,Yabancı,29.023408,40.99177,3
2017-11-06,MACBETH,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,6
2020-03-02,BİR GÜN AYAKKABIMIN TEKİ,Kağıthane Küçük Kemal Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.970972,41.079366,55
2018-12-25,MATRUŞKA,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.0159,320
2019-03-15,AY IŞIĞINDA ŞAMATA,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli,28.970972,41.079366,149
2018-12-08,CAN YELEĞİ,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,103
2019-12-31,BEN ÇAĞIRMADIM,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,22
2019-01-16,CAN YELEĞİ,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yerli,28.8765777,41.09774468,4
2019-03-31,İBLİS,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,21
2019-12-08,POLLYANNA,Ümraniye Sahnesi,Çocuk,0,Yabancı,29.104798,41.025025,58
2019-12-23,ÇIN SABAHTA,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,10
2017-10-11,AY IŞIĞINDA ŞAMATA,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli,28.970972,41.079366,79
2019-12-18,MATRUŞKA,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.916482,41.057846,137
2017-10-02,ŞAHANE ZÜĞÜRTLER,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.988829,41.046788,177
2017-12-29,KOMİK-İ ŞEHİR NAŞİT BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,24
2020-01-16,POLLYANNA,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yabancı,28.988829,41.046788,22
2018-01-31,YAŞASIN BARIŞ,Kadıköy Haldun Taner Sahnesi,Çocuk,0,Yerli,29.023408,40.99177,43
2018-12-03,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Kağıthane Sadabad Sahnesi,Müzikal,0,Yabancı,28.970972,41.079366,30
2018-09-26,SAADET HANIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.0159,13
2018-03-05,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0129,41.019561,56
2017-12-27,MARTI,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,44
2019-11-13,İKİ EFENDİNİN UŞAĞI,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.970972,41.079366,109
2019-12-31,HARİKALAR MUTFAĞI,Üsküdar Musahipzade Celãl Sahnesi,Çocuk,0,Yerli,29.0129,41.019561,15
2019-03-27,BİZİM AİLE,Ümraniye Sahnesi,Müzikal,0,Yerli,29.104798,41.025025,181
