institution_id,district_tr,district_eng,institution_name,latitude,longitude,neighborhood_tr,neighborhood_eng,institution_type_tr,institution_type_eng,care_type
2811,Beykoz,Beykoz,Park,41.1101629568606,29.2056198119759,POLONEZKÖY,POLONEZKOY,Park,Park,genellestirilmis
2812,Eyüpsultan,Eyupsultan,Ender Sok. Parkı,41.0753477492891,28.9564496743905,GÜZELTEPE,GUZELTEPE,Park,Park,genellestirilmis
2813,Beykoz,Beykoz,Şehit Ersin Güner Parkı,41.0874304846493,29.0798921140025,KAVACIK,KAVACIK,Park,Park,genellestirilmis
2814,Başakşehi̇r,Basaksehir,3 Nolu Park,41.0674991869875,28.6971935600972,BAHÇEŞEHİR 1. KISIM,BAHCESEHIR 1. KISIM,Park,Park,genellestirilmis
2815,Beykoz,Beykoz,Çubuklu İskelesi Parkı,41.1071658472895,29.0805897508525,ÇUBUKLU,CUBUKLU,Park,Park,genellestirilmis
2816,Ümrani̇ye,Umraniye,Endülüs Parkı,41.0214337726997,29.1089448339846,ATAKENT,ATAKENT,Park,Park,genellestirilmis
2817,Si̇li̇vri̇,Silivri,Barış Parkı,41.0995859013685,28.0101054206866,İSMETPAŞA,ISMETPASA,Park,Park,genellestirilmis
2818,Kartal,Kartal,Gelincik Parkı,40.9013226116313,29.1975862193727,ESENTEPE,ESENTEPE,Park,Park,genellestirilmis
2819,Esenyurt,Esenyurt,Park,41.0063939543245,28.6980057782137,SAADETDERE,SAADETDERE,Park,Park,genellestirilmis
2820,Esenyurt,Esenyurt,Papatya Parkı,41.0217585977528,28.6612758313055,MEHTERÇEŞME,MEHTERCESME,Park,Park,genellestirilmis
2821,Esenyurt,Esenyurt,Mehmet Akif Ersoy Parkı,41.0290370578457,28.6886504229611,İNÖNÜ,INONU,Park,Park,genellestirilmis
2822,Esenyurt,Esenyurt,Sarmaşık Park,41.0441625453263,28.6769213151309,ARDIÇLI,ARDICLI,Park,Park,genellestirilmis
2823,Sultanbeyli̇,Sultanbeyli,Park,40.9723934372492,29.2499081147707,HASANPAŞA,HASANPASA,Park,Park,genellestirilmis
2824,Bakirköy,Bakirkoy,Park,40.959420354546,28.8375169708976,YEŞİLKÖY,YESILKOY,Park,Park,genellestirilmis
2825,Eyüpsultan,Eyupsultan,Mevlana Parkı,41.1825739546861,28.8857216234705,GÖKTÜRK MERKEZ,GOKTURK MERKEZ,Park,Park,genellestirilmis
2826,Bakirköy,Bakirkoy,Selim- Kerim Altınok Kardeşler Parkı,40.9971500663175,28.873931631605,KARTALTEPE,KARTALTEPE,Park,Park,genellestirilmis
2827,Beşi̇ktaş,Besiktas,Sümbül Sok. 2 Parkı,41.0862679392036,29.0172999362985,LEVENT,LEVENT,Park,Park,genellestirilmis
2828,Bahçeli̇evler,Bahcelievler,Kahraman Bapçum Parkı,41.0098818491623,28.8625025445629,BAHÇELİEVLER,BAHCELIEVLER,Park,Park,genellestirilmis
2829,Beşi̇ktaş,Besiktas,Fulyalı Parkı,41.0850863394301,29.0181474105449,LEVENT,LEVENT,Park,Park,genellestirilmis
2830,Zeyti̇nburnu,Zeytinburnu,Uluslararası Barış Parkı,40.9901059923643,28.919960411564,KAZLIÇEŞME,KAZLICESME,Park,Park,genellestirilmis
